BHF;EBHF;EVA;EPA;Vbd
Aldjan;2771968;2700417;0;
Aldomirovci;5250058;5200058;0;
Alegria;9425147;9400109;0;
Alejskaja;2033303;2000278;2044680;
Aleksandar Dimitrov;5250059;5200059;0;
Aleksandriya;2241303;2200222;2208380;
Aleksandro-Newskaja;2049303;2000279;2014412;
Aleksandrov;2023700;0;0;
ALEKSANDROV-;2096004;2096004;0;
Aleksandrovo(BG);5250304;5200304;0;
Aleksandrow 1;2057303;2000280;2000920;
Aleksandrow Kuj.;5102150;0;0;
Aleksandrow Kujawski;5150339;5100339;5100001;
Aleksandrowskaja;2081303;2000283;2064682;
Alekseewskaja;2089303;2000284;2014460;
Aleksikowo;2097303;2000285;2020941;
Aleksinac;7212510;7200124;7212510;
Aleksince;5658762;5600390;0;
Alencon;8744471;8700141;8700280;
Ales;8777528;8700126;8700239;
Alesca;2116160;0;0;
Alesca(Gr);2006684;0;0;
Alesca(Gr);2116120;0;0;
Alesd;5332508;5300113;5332508;
Alesd Halta;5382481;5332481;0;
Aleshinka;2065216;2002061;0;
Alessandria;8300470;8300002;8300003;
Alet les Bains;8765266;8702640;0;
Aletshausen;8000482;8000482;0;
Aleur;2099304;2002695;0;
Alexanderplatz Bahnh;727484;727484;0;
Alexanderplatz (S+U);732536;732536;0;
Alexandra Palace;7060250;7000065;0;
Alexandria;5314518;0;0;
Alexandria(RO);5350455;5300455;5314518;
Alexandria(RO) Nord;5364506;5314506;0;
Alexandroupolis;7300858;0;0;
Alexeni;5371669;5371669;0;
Alfarelos;9435006;9400018;0;
Alfaro;7181110;7100395;7181110;
Alfedena-Scontrone;8378078;8302450;0;
Alfeld(Leine);8000483;8000483;8031107;
Alferrarede;9433147;9400110;0;
Alfhausen;8000486;0;0;
Alfonsine;8367801;8301127;0;
Alfreton;7050066;7000066;7000092;
Alfter(Gem);8040147;0;0;
Alfter-Impekoven;8000495;8000495;0;VRS
Alfter-Witterschlick;8006516;8006516;0;VRS
Alga;2726103;2700021;2704845;
Algabas;2734103;2700022;2704966;
Algeciras;7155020;7100136;7155020;
Algermissen;8000488;8000488;0;
Alges;9498601;9400019;0;
Algoz;9441147;9400111;0;
Algueirao;9449147;9400112;0;
Algyö;5529768;5500172;0;
Alhama de Aragon;7150397;7100397;7170502;
Alhama de Murcia;7106002;7100501;7106002;
Alhandra;9465147;9400114;0;
Alhos Vedros;9473147;9400115;0;
Alibunar;7221004;0;0;
Alice Belcolle;8350201;8301105;0;
Aligse;8000489;8000489;0;GVH
Alingsaas station;7485736;7400031;7400018;
Alingsas;7400119;0;0;
Ali Terme;8329998;8300493;8300704;
Alius;5375191;5325191;0;
Alkau;2751088;2700354;0;
Alken;8600260;0;0;
Alken;8831039;0;0;
Alken(B);8821473;8800225;0;
Alken KD;8007946;8075979;0;799
Alken st(DK);8693609;8600042;0;
Alkho;2029072;2003807;0;
Alkmaar;8400050;8400050;8400050;
Alkmaar Noord;8400052;8400052;0;
Alkoven;8159262;8100209;0;
Alkoven Schule;8199582;8100614;0;
Alksnenai;2473127;2400195;0;
Allaman;8534961;8501035;8500395;
Allanche;8781266;8702642;0;
Allassac(Brive);8790457;8700598;8700513;
Allee de la Tour Ren;8789266;8702643;0;
Allee, Künzelsau;833856;833856;0;
Allegre;8797266;8702644;0;
Allenc;8726066;8702645;0;
Allendorf(Dillkr);8000492;8000492;0;
Allensbach;8000496;8000496;8078108;VHB
Allentsteig;8102443;8100210;0;
Allerheiligenhoe.;8102222;0;0;
Allerheiligenhöfe;8146782;8100548;0;
Allerheiligen-Mue;8103152;0;0;
Allerheiligen-Mürzho;8191582;8100613;0;
Alleroed;8600681;0;0;
Alleroed st;8650044;8600044;0;
Allerona-Castel Visc;8367001;8301117;0;
Allersberg(Rothsee);8000498;8000498;0;VGN
Alleyras;8727923;8704935;0;
Allieres(CH);8535905;8501378;0;
Alling-Tobisegg;8120462;8100615;0;
Allmandstraße, Leing;720499;720499;0;
Allmend;8543905;8507550;0;
Allmendingen;8000499;8000499;0;DIN
Allmendshofen, Donau;501238;501238;0;
Allmendstraße, Furtw;501275;501275;0;
Alma-Ata 1;2742103;2700023;2700002;
Alma-ata1;2770000;0;0;
Alma-ata2;2770010;0;0;
Almadenejos-Almaden;7157775;7100398;7137305;
Almagro;7194004;7100399;7194004;
Almaj;5360835;5310835;0;
Almansa;7160800;7100400;7160800;
Almansil-Nexe;9481147;9400116;0;
Almar;5545768;5500174;0;
Almas;5553768;5500175;0;
Almasfuezitoe;5501172;0;0;
Almasfüzitö;5569768;5500177;0;
Almasfuzito felso;5501180;0;0;
Almasfüzitö felsö;5561768;5500176;0;
Almaty 2;2750103;2700024;2700001;
Almej;2059056;2002380;0;
Almelo;8400051;8400051;8400051;
Almelo de Riet;8400520;8400520;0;
Almere Buiten;8400081;8400081;0;
Almere Centrum;8400080;8400080;8400080;
Almere Muziekwijk;8460081;8400082;0;
Almere Muziekwk;8400082;0;0;
Almere Oostv.;8400226;0;0;
Almere Oostvaarders;8450027;8400024;0;
Almere Parkwijk;8400104;8479008;0;
Almere Poort;8400450;8400450;0;
Almeria;7156312;7100048;7156312;
Almetevskaya;2088200;2004754;0;
Almhult;7404801;0;0;
Älmhult station;7461736;7400028;7400045;
Almourol;9489147;9400117;0;
Almukhamedovo;2081384;2003263;0;
Almuradiel-V. del Ma;7181775;7100401;7150202;
Alna;7677926;7600315;0;
Alness;7086050;7000048;0;
Alonka;2074415;2000191;0;
Alora;7154405;7100187;7154405;
Alouette-France(Bor);8743257;8700602;0;
Alpatowo;2058103;2000286;2064099;
Alpedrinha;9497147;9400118;0;
Alpen;8000500;8000500;0;VRR
Alpen(Gem);8040054;0;0;
Alpgarten, Bayerisch;592106;592106;0;
Alp Gruem;8509357;0;0;
Alp Grüm;8576401;8509357;8500019;
Alphen aan den Rijn;8442401;8400053;0;
Alphen a/d Rijn;8400053;0;0;
Alpiglen;8551905;8507375;0;
Alpignano;8300216;8300584;0;
Alpirsbach;8000501;8000501;8072275;VGF
Alpnach Dorf;8559905;8508316;0;
Alpnachstad;8508317;8508317;0;
Alpnachstad PB;8597363;8508458;0;
Alpnachstad (See);8567905;8508503;0;
Alpullu;7508502;7500009;7508502;
Alsamaj;2066103;2000290;2054265;
Alsasua;7111300;7100007;7111300;
